Path: /HepData/8832/d11-x1-y1
Charged kaons v2 as a function of pT for centrality: 20-30%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 20-30%
Particle : Charged kaons
Range : 0.3 < pT < 4.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.350795	0.350795	0.350795	0.014958	+7.45E-4	-7.45E-4	-0.002023	+0.002023
	0.440812	0.440812	0.440812	0.029702	+0.00138	-0.00138	-0.002575	+0.002575
	0.5543	0.5543	0.5543	0.039382	+0.001098	-0.001098	-0.002554	+0.002554
	0.64718	0.64718	0.64718	0.052042	+8.04E-4	-8.04E-4	-0.002644	+0.002644
	0.749168	0.749168	0.749168	0.065322	+7.68E-4	-7.68E-4	-0.002763	+0.002763
	0.849966	0.849966	0.849966	0.078365	+7.39E-4	-7.39E-4	-0.00292	+0.00292
	0.949533	0.949533	0.949533	0.093702	+7.44E-4	-7.44E-4	-0.003135	+0.003135
	1.04928	1.04928	1.04928	0.105227	+7.77E-4	-7.77E-4	-0.003291	+0.003291
	1.14907	1.14907	1.14907	0.116818	+8.0E-4	-8.0E-4	-0.003473	+0.003473
	1.24901	1.24901	1.24901	0.128393	+8.64E-4	-8.64E-4	-0.003667	+0.003667
	1.3488	1.3488	1.3488	0.137561	+9.01E-4	-9.01E-4	-0.003825	+0.003825
	1.44858	1.44858	1.44858	0.14662	+0.001	-0.001	-0.003989	+0.003989
	1.54844	1.54844	1.54844	0.155939	+0.001055	-0.001055	-0.004163	+0.004163
	1.64828	1.64828	1.64828	0.162265	+0.001203	-0.001203	-0.004276	+0.004276
	1.74827	1.74827	1.74827	0.170755	+0.001282	-0.001282	-0.004442	+0.004442
	1.84806	1.84806	1.84806	0.17684	+0.001486	-0.001486	-0.004558	+0.004558
	1.94797	1.94797	1.94797	0.183911	+0.001597	-0.001597	-0.0047	+0.0047
	2.04798	2.04798	2.04798	0.187972	+0.001867	-0.001867	-0.004789	+0.004789
	2.14805	2.14805	2.14805	0.194283	+0.002011	-0.002011	-0.004917	+0.004917
	2.24819	2.24819	2.24819	0.194778	+0.00237	-0.00237	-0.004928	+0.004928
	2.34791	2.34791	2.34791	0.197814	+0.002555	-0.002555	-0.004993	+0.004993
	2.4479	2.4479	2.4479	0.201192	+0.003011	-0.003011	-0.005109	+0.005109
	2.54791	2.54791	2.54791	0.20356	+0.003243	-0.003243	-0.005336	+0.005336
	2.64782	2.64782	2.64782	0.20615	+0.003817	-0.003817	-0.006418	+0.006418
	2.74802	2.74802	2.74802	0.209547	+0.004144	-0.004144	-0.008266	+0.008266
	2.84794	2.84794	2.84794	0.210702	+0.004827	-0.004827	-0.010334	+0.010334
	2.94801	2.94801	2.94801	0.21268	+0.00527	-0.00527	-0.012692	+0.012692
	3.09204	3.09204	3.09204	0.212229	+0.004291	-0.004291	-0.014013	+0.014013
	3.29166	3.29166	3.29166	0.210175	+0.005488	-0.005488	-0.013731	+0.013731
	3.49148	3.49148	3.49148	0.209067	+0.007186	-0.007186	-0.014096	+0.014096
	3.69142	3.69142	3.69142	0.211442	+0.009437	-0.009437	-0.014047	+0.014047
	3.89046	3.89046	3.89046	0.190315	+0.012726	-0.012726	-0.013424	+0.013424

