#: table_doi: 10.17182/hepdata.73749.v1/t7
#: name: Table 7
#: description: pT-differential invariant yield of charged pions in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table7.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (PI+ + PI-) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.225,0.2,0.25,5.789,0.002,-0.002,0.27,-0.27
0.275,0.25,0.3,4.273,0.001,-0.001,0.133,-0.133
0.32499999999999996,0.3,0.35,3.161,0.001,-0.001,0.096,-0.096
0.375,0.35,0.4,2.368,0.001,-0.001,0.071,-0.071
0.42500000000000004,0.4,0.45,1.795,0.001,-0.001,0.053,-0.053
0.475,0.45,0.5,1.369,0.001,-0.001,0.041,-0.041
0.525,0.5,0.55,1.059,0.0,-0.0,0.031,-0.031
0.575,0.55,0.6,0.8259,0.0004,-0.0004,0.0246,-0.0246
0.625,0.6,0.65,0.6794,0.0008,-0.0008,0.033,-0.033
0.675,0.65,0.7,0.538,0.0007,-0.0007,0.0261,-0.0261
0.725,0.7,0.75,0.431,0.0006,-0.0006,0.021,-0.021
0.775,0.75,0.8,0.3486,0.0005,-0.0005,0.017,-0.017
0.825,0.8,0.85,0.283,0.0005,-0.0005,0.0138,-0.0138
0.875,0.85,0.9,0.2323,0.0004,-0.0004,0.0113,-0.0113
0.925,0.9,0.95,0.1914,0.0004,-0.0004,0.0093,-0.0093
0.975,0.95,1.0,0.159,0.0003,-0.0003,0.0077,-0.0077
1.05,1.0,1.1,0.1208,0.0002,-0.0002,0.0059,-0.0059
1.15,1.1,1.2,0.08566,0.00016,-0.00016,0.00418,-0.00418
1.25,1.2,1.3,0.06187,0.00013,-0.00013,0.00303,-0.00303
1.35,1.3,1.4,0.04537,0.00011,-0.00011,0.00223,-0.00223
1.45,1.4,1.5,0.03378,9e-05,-9e-05,0.00167,-0.00167
1.55,1.5,1.6,0.02531,7e-05,-7e-05,0.00124,-0.00124
1.65,1.6,1.7,0.01929,6e-05,-6e-05,0.00096,-0.00096
1.75,1.7,1.8,0.01479,5e-05,-5e-05,0.00075,-0.00075
1.85,1.8,1.9,0.01145,4e-05,-4e-05,0.00059,-0.00059
1.95,1.9,2.0,0.008927,3.3e-05,-3.3e-05,0.000476,-0.000476
2.1,2.0,2.2,0.006196,1.7e-05,-1.7e-05,0.000281,-0.000281
2.3,2.2,2.4,0.003965,1.3e-05,-1.3e-05,0.000186,-0.000186
2.5,2.4,2.6,0.002586,1.1e-05,-1.1e-05,0.000146,-0.000146
2.7,2.6,2.8,0.001711,9e-06,-9e-06,0.000107,-0.000107
2.9,2.8,3.0,0.001184,7e-06,-7e-06,7.5e-05,-7.5e-05
3.1,3.0,3.2,0.000816,4e-06,-4e-06,6.65e-05,-6.65e-05
3.3,3.2,3.4,0.000581,3.3e-06,-3.3e-06,4.74e-05,-4.74e-05
3.5,3.4,3.6,0.0004191,2.5e-06,-2.5e-06,3.41e-05,-3.41e-05
3.7,3.6,3.8,0.0003068,2.1e-06,-2.1e-06,2.5e-05,-2.5e-05
3.9,3.8,4.0,0.000226,1.7e-06,-1.7e-06,1.84e-05,-1.84e-05
4.25,4.0,4.5,0.0001387,1e-06,-1e-06,1.13e-05,-1.13e-05
4.75,4.5,5.0,7.256e-05,3.5e-07,-3.5e-07,5.91e-06,-5.91e-06
5.25,5.0,5.5,4.007e-05,2.5e-07,-2.5e-07,3.27e-06,-3.27e-06
5.75,5.5,6.0,2.347e-05,1.8e-07,-1.8e-07,1.91e-06,-1.91e-06
6.25,6.0,6.5,1.427e-05,1.3e-07,-1.3e-07,1.17e-06,-1.17e-06
6.75,6.5,7.0,8.998e-06,1e-07,-1e-07,7.4e-07,-7.4e-07
7.5,7.0,8.0,4.851e-06,5.2e-08,-5.2e-08,3.99e-07,-3.99e-07
8.5,8.0,9.0,2.271e-06,3.3e-08,-3.3e-08,1.85e-07,-1.85e-07
9.5,9.0,10.0,1.162e-06,2.2e-08,-2.2e-08,9.4e-08,-9.4e-08
10.5,10.0,11.0,6.282e-07,1.55e-08,-1.55e-08,5.13e-08,-5.13e-08
11.5,11.0,12.0,3.597e-07,1.1e-08,-1.1e-08,2.95e-08,-2.95e-08
12.5,12.0,13.0,2.064e-07,7.9e-09,-7.9e-09,1.67e-08,-1.67e-08
13.5,13.0,14.0,1.352e-07,6.2e-09,-6.2e-09,1.1e-08,-1.1e-08
14.5,14.0,15.0,8.68e-08,4.6e-09,-4.6e-09,7.18e-09,-7.18e-09
15.5,15.0,16.0,5.85e-08,3.58e-09,-3.58e-09,4.89e-09,-4.89e-09
17.0,16.0,18.0,3.331e-08,1.98e-09,-1.98e-09,2.79e-09,-2.79e-09
19.0,18.0,20.0,1.532e-08,1.19e-09,-1.19e-09,1.33e-09,-1.33e-09

