#: table_doi: 10.17182/hepdata.73749.v1/t9
#: name: Table 9
#: description: pT-differential invariant yield of protons+antiprotons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one.

#: data_file: Table9.yaml
#: keyword reactions: P P --> P X | P P --> PBAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 5.02-7.0
#: RE,,,P P --> (P + PBAR) X
#: SQRT(S) [TeV],,,5.02
#: ETARAP,,,-0.8-0.8
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys +','sys -'
0.875,0.85,0.9,0.02998,0.00015,-0.00015,0.00186,-0.00186
0.925,0.9,0.95,0.02651,0.00014,-0.00014,0.00163,-0.00163
0.975,0.95,1.0,0.02316,0.00013,-0.00013,0.00142,-0.00142
1.05,1.0,1.1,0.01921,8e-05,-8e-05,0.00119,-0.00119
1.15,1.1,1.2,0.01485,7e-05,-7e-05,0.00091,-0.00091
1.25,1.2,1.3,0.01161,6e-05,-6e-05,0.00071,-0.00071
1.35,1.3,1.4,0.009025,5e-05,-5e-05,0.000552,-0.000552
1.45,1.4,1.5,0.007123,3.7e-05,-3.7e-05,0.000446,-0.000446
1.55,1.5,1.6,0.005584,3.3e-05,-3.3e-05,0.000329,-0.000329
1.65,1.6,1.7,0.004395,2.6e-05,-2.6e-05,0.000261,-0.000261
1.75,1.7,1.8,0.003489,2.2e-05,-2.2e-05,0.000207,-0.000207
1.85,1.8,1.9,0.002744,1.9e-05,-1.9e-05,0.000162,-0.000162
1.95,1.9,2.0,0.002185,1.5e-05,-1.5e-05,0.000131,-0.000131
2.05,2.0,2.1,0.001754,1.5e-05,-1.5e-05,0.00011,-0.00011
2.1500000000000004,2.1,2.2,0.001378,1.3e-05,-1.3e-05,8.4e-05,-8.4e-05
2.25,2.2,2.3,0.001109,1.2e-05,-1.2e-05,6.6e-05,-6.6e-05
2.3499999999999996,2.3,2.4,0.0009058,1e-05,-1e-05,5.57e-05,-5.57e-05
2.45,2.4,2.5,0.0007162,8.6e-06,-8.6e-06,4.59e-05,-4.59e-05
2.55,2.5,2.6,0.0006002,7.6e-06,-7.6e-06,3.89e-05,-3.89e-05
2.6500000000000004,2.6,2.7,0.000492,6.8e-06,-6.8e-06,3.07e-05,-3.07e-05
2.75,2.7,2.8,0.000405,5.9e-06,-5.9e-06,2.67e-05,-2.67e-05
2.8499999999999996,2.8,2.9,0.0003409,5.4e-06,-5.4e-06,2.17e-05,-2.17e-05
