#: table_doi: 10.17182/hepdata.73749.v1/t5
#: name: Table 5
#: description: pT-differential invariant yield of protons+antiprotons in p-Pb collisions with centre-of-mass energy/nucleon=5.02 TeV, measured for different V0A multiplicity classes. The first uncertainty is statistical, the second one is the total systematic uncertainty, while the third one is the uncorrelated systematic uncertainty which is multiplicity dependent.

#: data_file: Table5.yaml
#: keyword reactions: P PB --> P X | P PB --> PBAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence
#: keyword cmenergies: 5020.0
#: RE,,,P PB --> (P + PBAR) X
#: class [pct],,,0.0-5.0
#: YRAP(C=CM),,,-0.5-0.0
#: SQRT(S)/NUCLEON [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys,total +','sys,total -','sys,uncor +','sys,uncor -'
7.5,7.0,8.0,1.104e-05,7.1e-07,-7.1e-07,1.37e-06,-1.37e-06,4e-07,-4e-07
9.0,8.0,10.0,2.842e-06,2.4e-07,-2.4e-07,3.12e-07,-3.12e-07,1.1e-07,-1.1e-07
11.0,10.0,12.0,9.197e-07,1.001e-07,-1.001e-07,1.014e-07,-1.014e-07,3.37e-08,-3.37e-08
13.5,12.0,15.0,1.269e-07,3.21e-08,-3.21e-08,1.4e-08,-1.4e-08,6.3e-09,-6.3e-09
17.5,15.0,20.0,2.838e-08,1.078e-08,-1.078e-08,3.16e-09,-3.16e-09,1.57e-09,-1.57e-09

#: RE,,,P PB --> (P + PBAR) X
#: class [pct],,,5.0-10.0
#: YRAP(C=CM),,,-0.5-0.0
#: SQRT(S)/NUCLEON [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2]','stat +','stat -','sys,total +','sys,total -','sys,uncor +','sys,uncor -'
0.32499999999999996,0.3,0.35,0.39,0.0105,-0.0105,0.0367,-0.0367,0.0087,-0.0087
0.375,0.35,0.4,0.3834,0.0069,-0.0069,0.0277,-0.0277,0.0086,-0.0086
0.42500000000000004,0.4,0.45,0.3674,0.0053,-0.0053,0.0245,-0.0245,0.0082,-0.0082
0.475,0.45,0.5,0.3561,0.0044,-0.0044,0.0239,-0.0239,0.008,-0.008
0.525,0.5,0.55,0.3193,0.0031,-0.0031,0.0167,-0.0167,0.0074,-0.0074
0.575,0.55,0.6,0.3082,0.0028,-0.0028,0.0136,-0.0136,0.007,-0.007
0.625,0.6,0.65,0.2874,0.0026,-0.0026,0.0125,-0.0125,0.0066,-0.0066
0.675,0.65,0.7,0.2733,0.0023,-0.0023,0.016,-0.016,0.0067,-0.0067
0.725,0.7,0.75,0.2605,0.0022,-0.0022,0.0151,-0.0151,0.0065,-0.0065
0.775,0.75,0.8,0.2479,0.0022,-0.0022,0.0155,-0.0155,0.0066,-0.0066
0.825,0.8,0.85,0.2345,0.0021,-0.0021,0.0146,-0.0146,0.0063,-0.0063
0.875,0.85,0.9,0.2227,0.0021,-0.0021,0.0138,-0.0138,0.0061,-0.0061
0.925,0.9,0.95,0.1986,0.0021,-0.0021,0.0122,-0.0122,0.0056,-0.0056
0.975,0.95,1.0,0.1853,0.002,-0.002,0.0119,-0.0119,0.0055,-0.0055
1.05,1.0,1.1,0.1621,0.0014,-0.0014,0.0108,-0.0108,0.0052,-0.0052
1.15,1.1,1.2,0.1362,0.0012,-0.0012,0.009,-0.009,0.0043,-0.0043
1.25,1.2,1.3,0.1143,0.0011,-0.0011,0.0076,-0.0076,0.0036,-0.0036
1.35,1.3,1.4,0.09451,0.00096,-0.00096,0.00629,-0.00629,0.00301,-0.00301
1.45,1.4,1.5,0.07996,0.00086,-0.00086,0.00533,-0.00533,0.00263,-0.00263
1.55,1.5,1.6,0.06528,0.00099,-0.00099,0.00363,-0.00363,0.00182,-0.00182
1.65,1.6,1.7,0.05478,0.00086,-0.00086,0.00306,-0.00306,0.00153,-0.00153
1.75,1.7,1.8,0.04631,0.00076,-0.00076,0.00259,-0.00259,0.00132,-0.00132
1.85,1.8,1.9,0.03818,0.00067,-0.00067,0.00212,-0.00212,0.00109,-0.00109
1.95,1.9,2.0,0.03203,0.00059,-0.00059,0.00179,-0.00179,0.0009,-0.0009
2.05,2.0,2.1,0.02649,0.00052,-0.00052,0.00143,-0.00143,0.00077,-0.00077
2.1500000000000004,2.1,2.2,0.02134,0.00045,-0.00045,0.00114,-0.00114,0.00061,-0.00061
2.25,2.2,2.3,0.01837,0.00041,-0.00041,0.00098,-0.00098,0.00053,-0.00053
2.3499999999999996,2.3,2.4,0.01512,0.00037,-0.00037,0.00079,-0.00079,0.00042,-0.00042
2.45,2.4,2.5,0.01245,0.00033,-0.00033,0.00065,-0.00065,0.00035,-0.00035
2.55,2.5,2.6,0.01019,0.00029,-0.00029,0.00054,-0.00054,0.00028,-0.00028
2.6500000000000004,2.6,2.7,0.008961,0.000271,-0.000271,0.000474,-0.000474,0.000251,-0.000251
2.75,2.7,2.8,0.007015,0.000246,-0.000246,0.000379,-0.000379,0.000188,-0.000188
2.8499999999999996,2.8,2.9,0.005935,0.000215,-0.000215,0.000328,-0.000328,0.000155,-0.000155
