%Path: /HepData/9154/d8-x1-y1
%pT-differential invariant yield of charged kaons in INEL p-p collisions with centre-of-mass energies 5.02 TeV and 7.0 TeV. The first uncertainty is statistical, the second is the systematic one
%Location: Figure 8 (middle)
%ETARAP : -0.8 - 0.8
%RE : P P --> (K+ + K-) X
%SQRT(S) : 5.02 TeV : 7.0 TeV
%x : PT IN GEV
%y : 1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP IN GEV**-2
%xdesc	x	xlow	xhigh	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	y	dy+ (stat)	dy- (stat)	dy+ (syst)	dy- (syst)	
	2.8499999999999996	2.8	2.9	4.834E-4	+1.22E-5	-1.22E-5	+4.43E-5	-4.43E-5	6.013E-4	+9.4E-6	-9.4E-6	+4.0E-5	-4.0E-5
	2.95	2.9	3.0	3.966E-4	+9.6E-6	-9.6E-6	+3.8E-5	-3.8E-5	4.95E-4	+8.3E-6	-8.3E-6	+3.3E-5	-3.3E-5
	3.1	3.0	3.2	3.055E-4	+6.0E-6	-6.0E-6	+2.79E-5	-2.79E-5	3.909E-4	+7.3E-6	-7.3E-6	+2.8E-5	-2.8E-5
	3.3	3.2	3.4	2.202E-4	+3.8E-6	-3.8E-6	+1.89E-5	-1.89E-5	2.841E-4	+6.0E-6	-6.0E-6	+1.99E-5	-1.99E-5
	3.5	3.4	3.6	1.595E-4	+2.4E-6	-2.4E-6	+1.37E-5	-1.37E-5	2.102E-4	+4.9E-6	-4.9E-6	+1.42E-5	-1.42E-5
	3.7	3.6	3.8	1.179E-4	+1.1E-6	-1.1E-6	+1.29E-5	-1.29E-5	1.552E-4	+4.2E-6	-4.2E-6	+1.04E-5	-1.04E-5
	3.9	3.8	4.0	8.672E-5	+8.9E-7	-8.9E-7	+9.03E-6	-9.03E-6	1.141E-4	+3.4E-6	-3.4E-6	+7.3E-6	-7.3E-6
	4.25	4.0	4.5	5.429E-5	+4.6E-7	-4.6E-7	+5.4E-6	-5.4E-6	7.212E-5	+1.72E-6	-1.72E-6	+4.63E-6	-4.63E-6
	4.75	4.5	5.0	2.834E-5	+3.0E-7	-3.0E-7	+2.68E-6	-2.68E-6	3.744E-5	+1.09E-6	-1.09E-6	+2.37E-6	-2.37E-6
	5.25	5.0	5.5	1.6E-5	+2.1E-7	-2.1E-7	+1.5E-6	-1.5E-6	2.141E-5	+8.7E-7	-8.7E-7	+1.35E-6	-1.35E-6
	5.75	5.5	6.0	9.574E-6	+1.37E-7	-1.37E-7	+8.87E-7	-8.87E-7	1.318E-5	+7.0E-7	-7.0E-7	+8.3E-7	-8.3E-7
	6.5	6.0	7.0	4.292E-6	+3.9E-8	-3.9E-8	+4.74E-7	-4.74E-7	5.577E-6	+5.8E-8	-5.8E-8	+6.16E-7	-6.16E-7
	7.5	7.0	8.0	1.809E-6	+2.3E-8	-2.3E-8	+1.99E-7	-1.99E-7	2.413E-6	+3.9E-8	-3.9E-8	+2.66E-7	-2.66E-7
	9.0	8.0	10.0	6.273E-7	+7.6E-9	-7.6E-9	+6.41E-8	-6.41E-8	8.581E-7	+1.5E-8	-1.5E-8	+8.69E-8	-8.69E-8
	11.0	10.0	12.0	1.936E-7	+3.3E-9	-3.3E-9	+1.97E-8	-1.97E-8	2.737E-7	+7.8E-9	-7.8E-9	+2.78E-8	-2.78E-8
	13.5	12.0	15.0	5.864E-8	+1.13E-9	-1.13E-9	+6.01E-9	-6.01E-9	8.558E-8	+2.92E-9	-2.92E-9	+8.65E-9	-8.65E-9
	17.5	15.0	20.0	1.356E-8	+3.6E-10	-3.6E-10	+1.57E-9	-1.57E-9	2.192E-8	+1.09E-9	-1.09E-9	+2.27E-9	-2.27E-9
