%: table_doi: 10.17182/hepdata.63400.v1/t1
%: name: Table 1
%: description: Transverse momentum distributions of charged particles in minimum-bias (NSD) p-Pb collisions for different pseudorapidity ranges.

%: data_file: Table1.yaml
%: keyword reactions: P PB --> CHARGED X
%: keyword observables: DN/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence
%: keyword cmenergies: 5020.0
%: RE   P PB --> CHARGED X
%: ETARAP(RF=CM)   -0.3-0.3
%: SQRT(S)/NUCLEON [GeV]   5020.0
%'PT [GEV]' 'PT [GEV] LOW' 'PT [GEV] HIGH' '1/(2*PI*PT)*D2(N)/DPT/DETARAP [GEV**-2]' 'stat +' 'stat -' 'sys +' 'sys -' 'sys overall normalization uncertainty +' 'sys overall normalization uncertainty -'
0.175 0.15 0.2 23.03 0.008 -0.008 1.3 -1.3 '3.1%' '-3.1%'
0.225 0.2 0.25 18.06 0.004 -0.004 0.8 -0.8 '3.1%' '-3.1%'
0.275 0.25 0.3 14.05 0.003 -0.003 0.59 -0.59 '3.1%' '-3.1%'
0.32499999999999996 0.3 0.35 10.94 0.002 -0.002 0.47 -0.47 '3.1%' '-3.1%'
0.375 0.35 0.4 8.573 0.0018 -0.0018 0.37 -0.37 '3.1%' '-3.1%'
0.42500000000000004 0.4 0.45 6.808 0.0014 -0.0014 0.3 -0.3 '3.1%' '-3.1%'
0.475 0.45 0.5 5.472 0.0012 -0.0012 0.24 -0.24 '3.1%' '-3.1%'
0.525 0.5 0.55 4.457 0.001 -0.001 0.19 -0.19 '3.1%' '-3.1%'
0.575 0.55 0.6 3.656 0.0009 -0.0009 0.16 -0.16 '3.1%' '-3.1%'
0.625 0.6 0.65 3.025 0.0008 -0.0008 0.13 -0.13 '3.1%' '-3.1%'
0.675 0.65 0.7 2.523 0.0007 -0.0007 0.1 -0.1 '3.1%' '-3.1%'
0.725 0.7 0.75 2.118 0.0006 -0.0006 0.086 -0.086 '3.1%' '-3.1%'
0.775 0.75 0.8 1.788 0.0006 -0.0006 0.071 -0.071 '3.1%' '-3.1%'
0.825 0.8 0.85 1.515 0.0005 -0.0005 0.059 -0.059 '3.1%' '-3.1%'
0.875 0.85 0.9 1.289 0.0005 -0.0005 0.049 -0.049 '3.1%' '-3.1%'
0.925 0.9 0.95 1.1 0.0005 -0.0005 0.041 -0.041 '3.1%' '-3.1%'
0.975 0.95 1.0 0.9425 0.00041 -0.00041 0.035 -0.035 '3.1%' '-3.1%'
1.05 1.0 1.1 0.7561 0.00026 -0.00026 0.028 -0.028 '3.1%' '-3.1%'
1.15 1.1 1.2 0.5704 0.00023 -0.00023 0.022 -0.022 '3.1%' '-3.1%'
1.25 1.2 1.3 0.4348 0.0002 -0.0002 0.02 -0.02 '3.1%' '-3.1%'
1.35 1.3 1.4 0.3345 0.00017 -0.00017 0.016 -0.016 '3.1%' '-3.1%'
1.45 1.4 1.5 0.2586 0.00015 -0.00015 0.0097 -0.0097 '3.1%' '-3.1%'
1.55 1.5 1.6 0.2008 0.00013 -0.00013 0.0074 -0.0074 '3.1%' '-3.1%'
1.65 1.6 1.7 0.157 0.00011 -0.00011 0.0063 -0.0063 '3.1%' '-3.1%'
1.75 1.7 1.8 0.1251 0.0001 -0.0001 0.0048 -0.0048 '3.1%' '-3.1%'
1.85 1.8 1.9 0.1003 9e-05 -9e-05 0.0037 -0.0037 '3.1%' '-3.1%'
1.95 1.9 2.0 0.08105 7.6e-05 -7.6e-05 0.0028 -0.0028 '3.1%' '-3.1%'
2.1 2.0 2.2 0.05908 4.5e-05 -4.5e-05 0.002 -0.002 '3.1%' '-3.1%'
2.3 2.2 2.4 0.0391 3.5e-05 -3.5e-05 0.0014 -0.0014 '3.1%' '-3.1%'
2.5 2.4 2.6 0.02628 2.7e-05 -2.7e-05 0.0009 -0.0009 '3.1%' '-3.1%'
2.7 2.6 2.8 0.0179 2.2e-05 -2.2e-05 0.00061 -0.00061 '3.1%' '-3.1%'
2.9 2.8 3.0 0.01241 1.7e-05 -1.7e-05 0.00042 -0.00042 '3.1%' '-3.1%'
3.1 3.0 3.2 0.008713 1.4e-05 -1.4e-05 0.00029 -0.00029 '3.1%' '-3.1%'
3.3 3.2 3.4 0.00619 1.1e-05 -1.1e-05 0.00021 -0.00021 '3.1%' '-3.1%'
3.5 3.4 3.6 0.004396 9.2e-06 -9.2e-06 0.00015 -0.00015 '3.1%' '-3.1%'
3.7 3.6 3.8 0.003201 7.6e-06 -7.6e-06 0.00011 -0.00011 '3.1%' '-3.1%'
3.9 3.8 4.0 0.002383 6.4e-06 -6.4e-06 8e-05 -8e-05 '3.1%' '-3.1%'
4.25 4.0 4.5 0.001463 3e-06 -3e-06 4.9e-05 -4.9e-05 '3.1%' '-3.1%'
4.75 4.5 5.0 0.0007423 2e-06 -2e-06 2.5e-05 -2.5e-05 '3.1%' '-3.1%'
5.25 5.0 5.5 0.0004021 1.4e-06 -1.4e-06 1.3e-05 -1.3e-05 '3.1%' '-3.1%'
5.75 5.5 6.0 0.0002305 9.9e-07 -9.9e-07 7.7e-06 -7.7e-06 '3.1%' '-3.1%'
6.25 6.0 6.5 0.0001369 7.2e-07 -7.2e-07 4.6e-06 -4.6e-06 '3.1%' '-3.1%'
6.75 6.5 7.0 8.326e-05 5.3e-07 -5.3e-07 2.8e-06 -2.8e-06 '3.1%' '-3.1%'
7.5 7.0 8.0 4.407e-05 2.6e-07 -2.6e-07 1.5e-06 -1.5e-06 '3.1%' '-3.1%'
8.5 8.0 9.0 2.036e-05 1.6e-07 -1.6e-07 7.1e-07 -7.1e-07 '3.1%' '-3.1%'
9.5 9.0 10.0 9.861e-06 1e-07 -1e-07 3.4e-07 -3.4e-07 '3.1%' '-3.1%'
10.5 10.0 11.0 5.35e-06 5.4e-08 -5.4e-08 1.9e-07 -1.9e-07 '3.1%' '-3.1%'
11.5 11.0 12.0 3.075e-06 3.6e-08 -3.6e-08 1.1e-07 -1.1e-07 '3.1%' '-3.1%'
12.5 12.0 13.0 1.808e-06 2.4e-08 -2.4e-08 6.6e-08 -6.6e-08 '3.1%' '-3.1%'
13.5 13.0 14.0 1.123e-06 1.8e-08 -1.8e-08 4.2e-08 -4.2e-08 '3.1%' '-3.1%'
14.5 14.0 15.0 7.258e-07 1.3e-08 -1.3e-08 2.9e-08 -2.9e-08 '3.1%' '-3.1%'
15.5 15.0 16.0 4.809e-07 1e-08 -1e-08 1.9e-08 -1.9e-08 '3.1%' '-3.1%'
17.0 16.0 18.0 2.798e-07 5.4e-09 -5.4e-09 1.1e-08 -1.1e-08 '3.1%' '-3.1%'
19.0 18.0 20.0 1.338e-07 3.4e-09 -3.4e-09 6e-09 -6e-09 '3.1%' '-3.1%'
21.0 20.0 22.0 7.177e-08 2.3e-09 -2.3e-09 3.2e-09 -3.2e-09 '3.1%' '-3.1%'
23.0 22.0 24.0 4.326e-08 1.7e-09 -1.7e-09 2e-09 -2e-09 '3.1%' '-3.1%'
26.0 24.0 28.0 1.938e-08 7.6e-10 -7.6e-10 9e-10 -9e-10 '3.1%' '-3.1%'
30.0 28.0 32.0 7.508e-09 4.4e-10 -4.4e-10 3.5e-10 -3.5e-10 '3.1%' '-3.1%'
36.0 32.0 40.0 2.852e-09 1.7e-10 -1.7e-10 1.4e-10 -1.4e-10 '3.1%' '-3.1%'
45.0 40.0 50.0 6.575e-10 6.7e-11 -6.7e-11 3.3e-11 -3.3e-11 '3.1%' '-3.1%'
