#: RE,,,P PB --> CHARGED X
#: ETARAP(RF=CM),,,-0.8--0.3
#: SQRT(S)/NUCLEON [GeV],,,5020.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','1/(2*PI*PT)*D2(N)/DPT/DETARAP [GEV**-2]','stat +','stat -','sys +','sys -','sys,overall normalization uncertainty +','sys,overall normalization uncertainty -'
12.5,12.0,13.0,1.836e-06,2.75e-08,-2.75e-08,6.75e-08,-6.75e-08,'3.1%','-3.1%'
13.5,13.0,14.0,1.1323e-06,1.93e-08,-1.93e-08,4.25e-08,-4.25e-08,'3.1%','-3.1%'
14.5,14.0,15.0,7.2175e-07,1.45e-08,-1.45e-08,3e-08,-3e-08,'3.1%','-3.1%'
15.5,15.0,16.0,4.8025e-07,1.125e-08,-1.125e-08,1.85e-08,-1.85e-08,'3.1%','-3.1%'
17.0,16.0,18.0,2.7925e-07,5.75e-09,-5.75e-09,1.125e-08,-1.125e-08,'3.1%','-3.1%'
19.0,18.0,20.0,1.327e-07,3.75e-09,-3.75e-09,6e-09,-6e-09,'3.1%','-3.1%'
21.0,20.0,22.0,7.0225e-08,2.5e-09,-2.5e-09,3e-09,-3e-09,'3.1%','-3.1%'
23.0,22.0,24.0,4.4375e-08,1.9e-09,-1.9e-09,2.05e-09,-2.05e-09,'3.1%','-3.1%'
26.0,24.0,28.0,1.956e-08,8.25e-10,-8.25e-10,9e-10,-9e-10,'3.1%','-3.1%'
30.0,28.0,32.0,7.875e-09,5e-10,-5e-10,3.75e-10,-3.75e-10,'3.1%','-3.1%'
36.0,32.0,40.0,2.6825e-09,1.85e-10,-1.85e-10,1.275e-10,-1.275e-10,'3.1%','-3.1%'
45.0,40.0,50.0,7.8275e-10,8e-11,-8e-11,4e-11,-4e-11,'3.1%','-3.1%'

