#: table_doi: 10.17182/hepdata.63400.v1/t3
#: name: Table 3
#: description: The ratio of spectra in p-Pb at backward pseudorapidities to that at |eta(cms)| < 0.3.

#: data_file: Table3.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: RATIO
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: ETARAP(Q=-03-0.3,RF=CM),,,-0.3-0.3
#: ETARAP(Q=-08--0.3,RF=CM),,,-0.8--0.3
#: ETARAP(Q=-13--0.8,RF=CM),,,-1.3--0.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: RE,,,P PB --> CHARGED X
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','N(Q=-0.8--0.3)/N(Q=-0.3-0.3)','stat +','stat -','sys +','sys -'
0.625,0.6,0.65,1.079,0.0004,-0.0004,0.0088,-0.0088
0.675,0.65,0.7,1.077,0.0004,-0.0004,0.01,-0.01
0.725,0.7,0.75,1.078,0.0005,-0.0005,0.0061,-0.0061
0.775,0.75,0.8,1.078,0.0005,-0.0005,0.0046,-0.0046
0.825,0.8,0.85,1.079,0.0005,-0.0005,0.0067,-0.0067
0.875,0.85,0.9,1.078,0.0006,-0.0006,0.0075,-0.0075
0.925,0.9,0.95,1.076,0.0006,-0.0006,0.007,-0.007
0.975,0.95,1.0,1.075,0.0007,-0.0007,0.0068,-0.0068
1.05,1.0,1.1,1.074,0.0005,-0.0005,0.0076,-0.0076
1.15,1.1,1.2,1.071,0.0006,-0.0006,0.0073,-0.0073
1.25,1.2,1.3,1.069,0.0007,-0.0007,0.007,-0.007
1.35,1.3,1.4,1.065,0.0008,-0.0008,0.0049,-0.0049
1.45,1.4,1.5,1.065,0.0009,-0.0009,0.0066,-0.0066
1.55,1.5,1.6,1.064,0.001,-0.001,0.0067,-0.0067
1.65,1.6,1.7,1.061,0.0011,-0.0011,0.0051,-0.0051
1.75,1.7,1.8,1.054,0.0012,-0.0012,0.0052,-0.0052
1.85,1.8,1.9,1.055,0.0013,-0.0013,0.0056,-0.0056
1.95,1.9,2.0,1.048,0.0014,-0.0014,0.006,-0.006
2.1,2.0,2.2,1.047,0.0012,-0.0012,0.0058,-0.0058
2.3,2.2,2.4,1.045,0.0014,-0.0014,0.0053,-0.0053
2.5,2.4,2.6,1.038,0.0016,-0.0016,0.0054,-0.0054
2.7,2.6,2.8,1.034,0.0018,-0.0018,0.0057,-0.0057
2.9,2.8,3.0,1.028,0.0021,-0.0021,0.0055,-0.0055
3.1,3.0,3.2,1.023,0.0024,-0.0024,0.0051,-0.0051
3.3,3.2,3.4,1.02,0.0027,-0.0027,0.005,-0.005
3.5,3.4,3.6,1.013,0.0031,-0.0031,0.0053,-0.0053
3.7,3.6,3.8,1.007,0.0034,-0.0034,0.0049,-0.0049
3.9,3.8,4.0,1.009,0.0039,-0.0039,0.0057,-0.0057
4.25,4.0,4.5,0.9963,0.003,-0.003,0.0049,-0.0049
4.75,4.5,5.0,0.9887,0.0038,-0.0038,0.005,-0.005
5.25,5.0,5.5,0.9753,0.0048,-0.0048,0.0056,-0.0056
5.75,5.5,6.0,0.9622,0.0059,-0.0059,0.0054,-0.0054
6.25,6.0,6.5,0.958,0.0073,-0.0073,0.0069,-0.0069
6.75,6.5,7.0,0.9763,0.009,-0.009,0.008,-0.008
7.5,7.0,8.0,0.9559,0.0081,-0.0081,0.0069,-0.0069
8.5,8.0,9.0,0.9341,0.011,-0.011,0.0082,-0.0082
9.5,9.0,10.0,0.9743,0.015,-0.015,0.0085,-0.0085
10.5,10.0,11.0,0.956,0.014,-0.014,0.014,-0.014
11.5,11.0,12.0,0.9249,0.016,-0.016,0.013,-0.013
12.5,12.0,13.0,0.9255,0.019,-0.019,0.016,-0.016
13.5,13.0,14.0,0.9478,0.022,-0.022,0.02,-0.02
14.5,14.0,15.0,0.9001,0.025,-0.025,0.015,-0.015
15.5,15.0,16.0,0.8883,0.029,-0.029,0.02,-0.02
17.0,16.0,18.0,0.8973,0.026,-0.026,0.024,-0.024
19.0,18.0,20.0,0.9771,0.037,-0.037,0.026,-0.026
21.0,20.0,22.0,1.0,0.048,-0.048,0.015,-0.015
23.0,22.0,24.0,0.8865,0.054,-0.054,0.023,-0.023
26.0,24.0,28.0,0.9097,0.054,-0.054,0.024,-0.024
30.0,28.0,32.0,0.8668,0.078,-0.078,0.023,-0.023
36.0,32.0,40.0,0.8112,0.078,-0.078,0.021,-0.021
45.0,40.0,50.0,0.8691,0.14,-0.14,0.023,-0.023

